Critical Quality Attributes,,,,,,,,,,,,,,,,,,,,,,
S.No,LIMS Data,Batch #,Item Code #,Strength (mg),Mfg Date,Assay (Potency),Content Uniformity,,,Dissolution,,,,,,,,,,Disintegration,Data Entry,
,,,,,,(97.0 - 105.0 %LC),(<=15)Acceptance Value,Mean,Std Dev,Min Value,Max Value,Avg % at 30 minutes (Avg) ,Disso Stage,Disso Unit 01,Disso Unit 02,Disso Unit 03,Disso Unit 04,Disso Unit 05,Disso Unit 06,(<=10)Minutes,Entered By,Date
1,1M9026W-CHEM-0049791,1M9026W,1285476,2.5,,99.1,3.8,96.4,0.7,95,98,96,S1,98,96,96,95,95,98,6,SD,5/29/2014
2,1M9027W-CHEM-0049797,1M9027W,1285476,2.5,,99.8,3.9,97.7,1.3,95,99,97,S1,95,96,98,99,99,96,4,SD,5/29/2014
3,1M9052W-CHEM-0049785,1M9052W,1285476,2.5,,101.1,4.3,98.9,1.8,96,99,98,S1,99,96,98,98,99,97,6,SD,5/29/2014
4,4B79522S-CHEM-0145452,4B79522S,1285476,2.5,3/18/2014,99.2,5.1,97.3,1.6,93,98,96,S1,94,97,95,98,95,93,6,SD,5/29/2014
5,4B79523S-CHEM-0145457,4B79523S,1285476,2.5,3/19/2014,99.5,5,99.4,2.1,94,99,96,S1,96,99,97,94,96,96,5,SD,5/29/2014
6,4C86556S-CHEM-0148356,4C86556S,1285476,2.5,3/20/2014,99.3,4.1,99.4,1.7,94,97,96,S1,97,96,96,96,97,94,5,SD,5/29/2014
7,4C88552S-CHEM-0149434,4C88552S,1285476,2.5,4/11/2014,100.8,5.4,100.7,2.3,96,101,98,S1,99,96,101,96,100,98,5,SD,5/29/2014
8,4C88553S-CHEM-0149439,4C88553S,1285476,2.5,4/12/2014,100,3.8,99.4,1.6,93,101,96,S1,95,93,94,101,97,96,6,SD,5/29/2014
9,4C88554S-CHEM-0149444,4C88554S,1285476,2.5,4/12/2014,99.2,4.7,99.1,2,91,98,95,S1,91,92,98,94,96,97,5,SD,5/29/2014
,,,,,,,,,,,,,,,,,,,,,,
10,5A86468WS-CHEM-0187837,5A86468WS,1285476,2.5,,98.8,4.6,99.4,1.9,98,103,99,S1,98,99,103,99,98,98,6,CDG ,5/20/2015
